Classement,Voitures,kWh,Prix,Autonomie
1,Mercedes EQS,108,135 850 €,783 km
2,Fisker Ocean,106,69 950 €,707 km
2,Fisker Ocean,106,69 950 €,707 km
4,Volkswagen ID.7,86,,700 km
4,Peugeot e-3008,98,,700 km
6,Mercedes EQS,107,166 900 €,692 km
7,Tesla Model 3,76,50 990 €,678 km
8,Tesla Model S,95,99 990 €,652 km
9,Mercedes EQE,89,80 150 €,639 km
10,Tesla Model S,95,103 990 €,634 km
11,Tesla Model S,95,128 990 €,628 km
12,BMW i7,101,151 800 €,625 km
13,Renault Scénic électrique,87,,620 km
13,Volkswagen ID.7,77,62 650 €,620 km
15,BMW iX,108,111 200 €,619 km
16,Hyundai Ioniq 6,77,52 300 €,614 km
,,,,
17,BMW i7,101,128 500 €,612 km
18,Mercedes EQS SUV,108,149 900 €,610 km
18,Mercedes EQS SUV,108,167 750 €,610 km
18,Fisker Ocean,106,57 500 €,610 km
21,Tesla Model 3,76,49 990 €,602 km
22,Lotus Eletre,100,97 890 €,600 km
22,Lotus Eletre,100,123 090 €,600 km
22,Volvo EX90,107,107 900 €,600 km
25,Mercedes EQE SUV,90,93 150 €,596 km
26,Tesla Model S,95,101 990 €,593 km
27,Volvo EX90,107,113 100 €,590 km
28,BMW i4,81,63 950 €,584 km
29,Tesla Model X,95,99 990 €,580 km
30,Volvo XC40 Recharge,78,46 990 €,573 km
31,Mercedes EQS,107,169 850 €,570 km
,,,,
31,BYD Seal,82,,570 km
33,BMW iX,108,144 250 €,563 km
34,BMW i7,101,191 700 €,560 km
35,Volkswagen ID.3,77,49 990 €,557 km
36,Mercedes EQE,89,76 250 €,556 km
37,Mercedes EQE SUV,90,100 750 €,552 km
37,Audi Q8 e-tron,106,98 800 €,552 km
39,Mercedes EQE SUV,89,95 900 €,551 km
40,Tesla Model 3,76,53 990 €,547 km
41,Hyundai Ioniq 6,77,65 400 €,545 km
42,Tesla Model 3,57,42 990 €,544 km
42,Skoda Enyaq,77,46 990 €,544 km
44,Tesla Model X,95,131 990 €,543 km
45,Kia EV9,99,73 000 €,541 km
46,Cupra Born,77,,540 km
46,Ford Mustang Mach-E,88,73 990 €,540 km
48,Volvo XC40 Recharge,78,,537 km
49,Nissan Ariya,87,,536 km
50,Nissan Ariya,87,57 900 €,533 km
50,Tesla Model Y,72,51 990 €,533 km
50,Mercedes EQE,90,,533 km
53,Audi Q8 e-tron,106,96 200 €,532 km
54,Volkswagen ID.5,77,57 550 €,531 km
54,Volkswagen ID.5,77,59 650 €,531 km
56,Rolls-Royce Spectre,102,340 000 €,530 km
57,Mercedes EQA,70,55 750 €,529 km
58,Kia EV6,77,51 990 €,528 km
59,Volkswagen ID.4,77,53 650 €,526 km
59,Volkswagen ID.4,77,51 900 €,526 km
61,Nissan Ariya,87,61 400 €,525 km
61,Peugeot e-3008,73,,525 km
61,Peugeot e-3008,73,,525 km
64,Volkswagen ID.4,77,53 500 €,524 km
64,Volkswagen ID.4,77,55 250 €,524 km
66,Skoda Enyaq,77,55 460 €,521 km
66,BYD Han,85,,521 km
68,MG 4,77,39 490 €,520 km
68,BYD Seal,82,,520 km
70,Mercedes EQE,90,125 350 €,518 km
71,Audi Q4 e-tron,77,48 700 €,517 km
71,Skoda Enyaq,77,62 500 €,517 km
73,Tesla Model Y,72,59 990 €,514 km
73,Hyundai Kona électrique (nouveau),65,44 250 €,514 km
75,Toyota bZ4X,71,55 000 €,513 km
75,Audi Q8 e-tron,106,,513 km
77,BMW i4,81,77 200 €,512 km
78,Volkswagen ID.5,77,64 900 €,511 km
79,Porsche Taycan,83,159 461 €,508 km
80,Mercedes EQB,66,59 200 €,507 km
80,Hyundai Ioniq 5,74,49 700 €,507 km
80,Volvo C40 Recharge,78,59 760 €,507 km
83,Kia EV6,77,55 991 €,506 km
84,Porsche Taycan,83,137 847 €,505 km
85,Audi Q4 e-tron,77,62 900 €,502 km
86,Audi e-tron GT,83,104 340 €,501 km
87,Ford Mustang Mach-E,88,81 990 €,500 km
87,Subaru Solterra,71,,500 km
87,Wiesmann Project Thunderball,83,,500 km
87,Maserati Grecale Folgore,105,,500 km
91,Volkswagen ID.4,77,62 500 €,499 km
92,Nissan Ariya,87,70 400 €,498 km
93,Kia EV9,99,80 000 €,497 km
94,Audi e-tron GT,86,142 830 €,495 km
95,Nissan Ariya,87,60 400 €,493 km
96,Porsche Taycan,83,160 421 €,492 km
97,Tesla Model 3,57,41 990 €,491 km
97,Tesla Model 3,57,48 390 €,491 km
97,Porsche Taycan,83,138 807 €,491 km
97,Porsche Taycan,83,101 255 €,491 km
97,Porsche Taycan,83,117 002 €,491 km
102,Lotus Eletre,100,153 090 €,490 km
102,Rimac Nevera,120,2 000 000 €,490 km
104,Audi Q4 e-tron,77,67 700 €,488 km
105,Tesla Model X,95,111 990 €,487 km
106,Porsche Taycan,83,160 901 €,486 km
107,Hyundai Kona électrique,64,39 900 €,484 km
108,Hyundai Ioniq 5,70,46 800 €,481 km
108,Hyundai Ioniq 5,74,62 400 €,481 km
108,Volvo C40 Recharge,70,51 890 €,481 km
108,Audi Q8 e-tron,106,,481 km
112,Volvo EX30,69,41 700 €,480 km
113,BMW i5,81,76 200 €,477 km
114,Mercedes EQE SUV,90,133 600 €,476 km
115,Renault Megane électrique,60,41 200 €,470 km
115,Renault Megane électrique,60,42 700 €,470 km
117,Porsche Taycan,83,193 061 €,469 km
118,Audi Q8 e-tron,89,89 300 €,468 km
119,Volvo XC40 Recharge,70,48 240 €,467 km
120,Porsche Taycan,83,117 170 €,462 km
120,Mini Countryman,64,,462 km
122,BMW iX3,74,69 950 €,460 km
122,Porsche Taycan,83,194 501 €,460 km
122,Hyundai Ioniq 5,70,59 900 €,460 km
122,Subaru Solterra,71,,460 km
122,Kia Niro EV,64,45 640 €,460 km
122,Volvo EX30,69,49 250 €,460 km
128,Porsche Taycan,83,194 021 €,458 km
129,Porsche Taycan,71,111 602 €,455 km
129,Tesla Model Y,60,45 990 €,455 km
129,BMW i5,81,107 500 €,455 km
132,Porsche Taycan Cross Turismo,83,114 814 €,453 km
132,Audi Q8 e-tron,89,86 700 €,453 km
134,Kia e-Soul EV,64,41 300 €,452 km
134,Porsche Taycan Cross Turismo,83,157 774 €,452 km
136,Renault Megane électrique,60,41 700 €,450 km
136,Renault Megane électrique,60,41 700 €,450 km
136,Toyota bZ4X,71,58 000 €,450 km
136,MG 4,64,33 984 €,450 km
136,MG 4,64,33 990 €,450 km
136,Maserati GranTurismo Folgore,83,,450 km
142,Tesla Model 3,53,,448 km
142,Lexus UX,72,56 900 €,448 km
144,Porsche Taycan,71,91 055 €,445 km
145,Audi e-tron Sportback,86,86 800 €,444 km
146,Porsche Taycan,71,112 562 €,442 km
147,Ford Mustang Mach-E,68,61 650 €,440 km
147,MG ZS EV,68,36 990 €,440 km
147,MG ZS EV,68,36 990 €,440 km
147,Smart #1,66,43 490 €,440 km
151,BMW iX1,64,,439 km
152,Volvo XC40 Recharge,75,58 940 €,438 km
153,Mercedes EQC,80,82 650 €,437 km
154,Audi e-tron,86,84 200 €,436 km
155,Lexus RZ,71,75 500 €,435 km
155,MG 4,64,35 990 €,435 km
155,MG 4,64,35 990 €,435 km
158,Porsche Taycan,71,92 015 €,433 km
158,Mercedes EQB,66,54 700 €,433 km
158,Mini Countryman,64,,433 km
161,Mercedes EQA,66,64 700 €,432 km
162,Porsche Taycan Cross Turismo,83,96 454 €,431 km
163,Hyundai Ioniq 6,53,,429 km
164,Volkswagen ID.3,58,42 990 €,427 km
164,BYD Dolphin,60,33 990 €,427 km
166,Cupra Born,58,44 600 €,426 km
166,Mercedes EQA,66,44 900 €,426 km
166,Mercedes EQA,66,64 700 €,426 km
169,Volkswagen ID.3,58,39 300 €,425 km
169,BMW iX,74,84 200 €,425 km
171,Kia EV6,77,72 990 €,424 km
172,Mercedes EQB,66,68 150 €,423 km
173,Mercedes eVito Tourer,90,74 508 €,421 km
174,Smart #1,66,39 990 €,420 km
174,Renault Scénic électrique,60,,420 km
174,BYD ATTO 3,60,43 690 €,420 km
174,Ora Funky Cat,63,,420 km
178,Porsche Taycan Cross Turismo,83,191 374 €,419 km
179,Opel Astra électrique,51,40 990 €,418 km
180,Volkswagen ID Buzz,77,56 990 €,416 km
181,Volkswagen ID Buzz,77,57 588 €,414 km
182,Honda e:Ny1,62,,412 km
183,Peugeot e-308,51,48 000 €,411 km
184,Peugeot e-208,48,35 300 €,410 km
185,Tesla Model 3,50,,409 km
185,Fiat 600e,51,35 900 €,409 km
187,Jeep Avenger,54,36 500 €,408 km
188,BMW i4,67,57 555 €,406 km
188,Peugeot e-2008 (nouveau),54,,406 km
188,Fiat 600e,51,40 900 €,406 km
191,Tesla Model S,72,85 700 €,405 km
191,Aiways U6,63,,405 km
193,Nissan Ariya,63,45 800 €,404 km
194,Nissan Ariya,63,50 800 €,403 km
195,DS 3 e-Tense,50,41 700 €,402 km
195,MG Marvel R,66,39 990 €,402 km
195,DS 3 E-Tense,50,41 700 €,402 km
195,Mini Cooper,54,,402 km
199,Nissan Ariya,87,,400 km
199,Volvo XC40 Recharge,67,46 400 €,400 km
199,Aiways U5,63,39 300 €,400 km
199,MG 5,57,35 990 €,400 km
199,BYD Tang,86,,400 km
199,Smart #1,66,47 490 €,400 km
199,Ora Funky Cat,63,,400 km
206,Skoda Enyaq,58,45 515 €,397 km
207,Kia EV6,58,47 990 €,394 km
208,Renault ZOE,52,38 300 €,390 km
208,Renault ZOE,52,,390 km
210,Nissan Leaf,56,40 300 €,385 km
210,MG 4,64,40 490 €,385 km
212,Hyundai Ioniq 5,54,43 600 €,384 km
213,Ford Mustang Mach-E,88,,378 km
214,Hyundai Kona électrique (nouveau),48,40 850 €,377 km
215,Tesla Model X,72,90 300 €,375 km
215,NIO ES8,75,,375 km
217,MG Marvel R,66,48 990 €,370 km
218,Audi e-tron Sportback,86,99 200 €,368 km
219,Skoda Enyaq,51,39 990 €,366 km
220,MG 4,51,29 990 €,365 km
221,Audi e-tron,86,96 600 €,362 km
221,Peugeot e-208,46,35 900 €,362 km
223,Hyundai Ioniq 5,54,,360 km
223,Citroën ë-C4 X,45,41 900 €,360 km
225,Volkswagen ID.4,52,46 990 €,359 km
225,Volkswagen ID.4,52,44 000 €,359 km
227,Volkswagen ID.4,52,46 800 €,358 km
227,Volkswagen ID.4,52,50 000 €,358 km
229,Tesla Model 3,50,,354 km
230,Mercedes EQV,90,79 936 €,353 km
231,Mercedes EQV,90,80 830 €,351 km
232,Volkswagen ID.3,45,34 220 €,350 km
232,Citroën ë-C4,46,34 800 €,350 km
232,Ford e-Transit,67,,350 km
232,MG 4,51,29 990 €,350 km
236,Lotus Evija,70,1 880 000 €,347 km
237,Audi e-tron Sportback,64,74 500 €,345 km
238,Volvo EX30,51,37 500 €,344 km
239,DS 3 e-Tense,46,39 900 €,341 km
239,Audi Q4 e-tron,52,42 800 €,341 km
241,Skoda Enyaq,51,36 050 €,340 km
241,Peugeot e-Boxer,70,,340 km
241,Citroën ë-Jumper,70,,340 km
244,Audi e-tron,64,71 900 €,339 km
244,Opel Mokka-e,46,40 850 €,339 km
246,Opel Corsa-e,46,33 800 €,337 km
247,DFSK Ecocity 35,38,33 000 €,331 km
248,Opel Vivaro-e,75,,330 km
248,Peugeot e-Expert,75,,330 km
248,Citroën ë-Jumpy,65,38 650 €,330 km
248,Peugeot e-Traveller,75,,330 km
248,Citroën ë-SpaceTourer,65,,330 km
248,Opel Zafira-e Life,65,61 500 €,330 km
248,Toyota Proace Electric Verso,65,61 120 €,330 km
248,Fiat e-Scudo,75,44 300 €,330 km
256,Seres 3,48,33 990 €,329 km
257,Fiat 500e,37,32 700 €,321 km
258,Peugeot e-2008,46,37 550 €,320 km
258,MG ZS EV,49,32 990 €,320 km
258,MG 5,46,32 990 €,320 km
261,Lexus UX,45,49 990 €,315 km
262,Mercedes eVito Fourgon,60,58 548 €,314 km
263,Cupra Born,45,,310 km
263,Ora Funky Cat,47,,310 km
265,Hyundai Kona électrique,39,35 100 €,305 km
265,Sono Motors Sion,54,,305 km
265,Mini Cooper,40,,305 km
268,Renault Megane électrique,40,37 200 €,300 km
268,Nissan Townstar,45,31 700 €,300 km
268,Iveco eDaily,111,,300 km
268,Iveco eDaily,111,,300 km
272,Hyundai Ioniq électrique,38,35 200 €,294 km
273,Citroën Berlingo Electric,46,36 390 €,285 km
273,Mercedes eCitan,44,,285 km
273,Opel Combo-e / Combo-e Life,46,35 300 €,285 km
273,Renault Kangoo E-Tech,45,38 900 €,285 km
277,Peugeot e-Rifter,46,,280 km
277,Leapmotor T03,41,25 990 €,280 km
279,Kia e-Soul EV,39,37 300 €,276 km
280,Peugeot Partner Electric,46,36 720 €,275 km
280,Fiat e-Doblo,46,32 900 €,275 km
282,Fiat e-Doblo,50,33 850 €,274 km
283,Nissan Leaf,38,36 900 €,270 km
284,Fiat e-Doblo,50,35 450 €,267 km
285,Abarth 500e,42,36 900 €,265 km
285,Renault Grand Kangoo E-Tech,45,,265 km
287,MG ZS EV,44,29 990 €,263 km
288,Volkswagen e-UP,32,28 030 €,260 km
289,Abarth 500e,42,42 300 €,255 km
290,Fiat e-Ducato,79,,235 km
291,Mini Cooper SE,28,35 200 €,234 km
292,Opel Vivaro-e,50,,230 km
292,Peugeot e-Expert,46,,230 km
292,Dacia Spring,26,20 800 €,230 km
292,Dacia Spring,26,20 800 €,230 km
292,Citroën ë-Jumpy,46,33 650 €,230 km
292,Peugeot e-Traveller,50,,230 km
292,Citroën ë-SpaceTourer,46,53 150 €,230 km
292,Opel Zafira-e Life,46,54 500 €,230 km
292,Toyota Proace Electric Verso,46,49 820 €,230 km
292,Fiat e-Scudo,46,47 160 €,230 km
302,Opel Movano-e,70,,224 km
303,Honda e,28,35 060 €,222 km
304,Dacia Spring,26,22 300 €,220 km
304,Dacia Spring,26,22 300 €,220 km
306,Mini Cooper SE,28,60 490 €,201 km
307,Honda e,28,38 060 €,200 km
307,Mazda MX-30,30,35 450 €,200 km
307,Peugeot e-Boxer,37,,200 km
307,Citroën ë-Jumper,37,,200 km
307,Iveco eDaily,74,,200 km
307,Iveco eDaily,74,,200 km
313,Fiat 500e,21,24 500 €,190 km
314,Fiat e-Ducato,47,55 900 €,166 km
315,Mercedes eSprinter,47,62 490 €,157 km
316,Mercedes eVito Fourgon,35,47 070 €,150 km
317,Mercedes eSprinter,35,55 925 €,119 km
318,Opel Movano-e,37,,117 km
319,MAN eTGE,35,65 625 €,115 km
320,Iveco eDaily,37,,110 km
320,Iveco eDaily,37,,110 km
322,Mazda MX-30,17,38 250 €,85 km
